tech_score,exp_score,comm_score,final_score
78,95,34,62.174054231613596
91,48,58,74.97755746631667
68,36,76,60.39655738201404
54,92,51,66.35667091125357
82,71,86,79.77447799257357
47,71,64,63.39901681330458
60,88,89,73.71238387159026
78,49,99,84.35442202429215
97,46,89,83.5902462915741
58,56,87,68.25742647283299
62,76,32,60.2328476754367
50,31,63,48.45422752757638
50,92,74,58.951822727764835
63,91,79,71.7150736622645
92,48,31,71.98826981452692
75,46,44,59.76562847977575
79,98,66,76.47560847304378
63,68,44,57.27895712587954
42,68,89,55.73858765307141
61,65,93,68.40538522909952
92,69,81,78.72897516617768
41,74,52,60.21530804504376
63,33,66,55.641025543344185
83,54,70,64.7224265681356
69,98,86,88.78070350946888
77,59,54,66.77108442019858
41,97,66,65.32996533283993
99,58,69,82.23370654688047
60,97,75,76.18711015624802
72,80,89,76.08245485449972
51,53,48,52.65381446629206
97,43,38,68.2538169258414
61,98,98,81.31052388328644
83,47,34,61.471364344414255
64,71,55,62.84979156165268
88,86,48,72.08983595454967
66,41,59,57.07397782899164
98,46,77,79.32306833278327
81,59,45,76.44437027741125
67,52,47,60.89683003319162
99,30,85,71.87658878795037
55,61,50,50.72661187355135
54,38,60,51.73718940002564
86,44,30,58.47526170321778
90,57,32,65.65761584929758
83,53,54,64.4593694202538
94,89,37,79.45706609850741
91,64,94,87.18061166188313
96,56,91,73.05081103436906
42,49,36,49.37324962160346
76,94,36,72.3793191125512
90,78,37,72.62958826056999
46,30,48,46.0388012783732
60,39,46,49.868749452766245
48,76,40,49.565719100217976
78,88,78,73.39083213774657
57,91,40,67.27722368196277
43,47,70,53.39868730529107
64,75,91,70.63475755582587
99,61,81,90.60662430689986
53,56,95,62.479154722071634
89,47,97,84.6400244288574
97,68,96,83.31316184141922
48,78,69,55.80101927058546
65,73,34,58.63175348159497
92,83,51,79.10217815469981
41,63,66,58.35543430156005
59,65,40,58.466715450227866
67,47,73,58.40378659036738
86,67,82,79.55579455811785
99,88,90,91.7597410792571
46,38,96,49.58120942834993
83,80,42,73.50129117551168
47,64,40,49.745719447539656
86,34,40,57.371606910078796
74,43,36,53.218179892687225
53,59,46,57.47298288294895
56,33,77,55.417079277125886
75,68,43,71.21834364803482
89,93,92,89.38124118589145
79,54,93,68.86132139938361
43,57,94,54.53048931477911
41,95,63,66.73657002985003
45,51,38,37.3979780073502
93,60,66,84.92355442261689
81,52,59,62.349201781773324
43,77,70,62.49838257971443
93,49,74,70.89770725395566
68,67,76,66.32415975046479
57,84,36,50.61261483747825
65,97,43,79.46899280512397
83,30,77,68.77415375024322
73,36,35,57.46849257681255
49,86,63,60.43566088664048
75,41,75,60.146228248750596
53,34,88,58.18265303618894
70,79,99,72.48437704125607
87,71,37,71.364365698804
54,41,53,43.6463494177064
47,47,96,57.419742232926666
53,95,33,52.01543617764358
62,46,30,43.39710613319486
99,97,63,86.90090272833808
96,91,38,85.97376537052659
79,70,92,76.24341144369035
60,63,39,61.617991615573516
55,99,39,72.50349138829732
84,74,79,78.45678435155853
57,87,73,61.807762898645834
86,80,77,87.22839978138025
92,63,35,64.19216914072567
63,73,53,59.48368147447257
65,44,87,54.59467864536808
64,99,93,85.11582362677173
99,79,85,93.06042841277213
99,61,41,84.09142862478805
99,96,64,88.89372195244965
84,32,35,54.48012420794608
80,80,94,80.17594682831519
68,96,89,73.93614612535113
54,77,97,76.64325890314447
84,46,58,84.28316954313641
40,36,67,40.58094101061479
64,42,51,57.76349040454116
46,95,37,58.12255437263804
48,33,92,54.50870214084245
63,39,42,56.8984934290207
40,46,56,39.28454315582816
83,81,47,72.80704724184704
47,35,47,49.41577779968342
63,98,91,81.64417447270402
50,38,43,46.636598713639444
90,50,40,70.54841920373109
56,53,46,56.13945754608268
47,33,80,55.18881709368561
74,53,43,65.26886819164609
